Date/Time,15 Oct 2024 23.53.45,,,
Application,CtC,,,
,,,,
Unit ID,QuickCollect - 2310610,,,
OVD,NO,,,
,,,,
,,,,
,,,CH1 Units,gE
,,,,
,,,,
,,,CH1 Y-Axis,Linear
,,,,
,,,,
Sensitivity,23.6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Max Freq / Orders,2000,,,
,,,,
,,,,
,,,,
Detection,TruePkPk,,,
No. of Lines,800,,,
Window Type,Hanning,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y-axis Units,gE,,,
X-axis Units,Hz,,,
,,,,
,,,,
Sensor Type,Accel (g),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
RPM,NaN,,,
,,,,
Overall,13.9096441,,,
X-Axis,Y-Axis,,,
0,0.041151799,,,
2.5,0.071193613,,,
5,0.076474592,,,
7.5,0.157134116,,,
10,0.170087457,,,
12.5,0.111050077,,,
15,0.080709338,,,
17.5,0.146721616,,,
20,0.160571739,,,
22.5,0.032034632,,,
25,0.04982058,,,
27.5,0.082403243,,,
30,0.101534344,,,
32.5,0.082403243,,,
35,0.182891354,,,
37.5,0.152998999,,,
40,0.142038479,,,
42.5,0.154892191,,,
45,0.100139365,,,
47.5,0.117327467,,,
50,0.141091883,,,
52.5,0.128736377,,,
55,0.124651097,,,
57.5,0.034575485,,,
60,0.03088876,,,
62.5,0.154144883,,,
65,0.205759004,,,
67.5,0.089677043,,,
70,0.082054496,,,
72.5,0.171831191,,,
75,0.196293086,,,
77.5,0.190065518,,,
80,0.078317955,,,
82.5,1.128735065,,,
85,3.264742613,,,
87.5,2.094905615,,,
90,0.0326823,,,
92.5,0.063222319,,,
95,0.142287582,,,
97.5,0.287116021,,,
100,0.438969135,,,
102.5,0.510112941,,,
105,0.188969463,,,
107.5,0.268333644,,,
110,0.136109829,,,
112.5,0.03088876,,,
115,0.068901867,,,
117.5,0.075777106,,,
120,0.136757493,,,
122.5,0.24153018,,,
125,0.258120418,,,
127.5,0.200328559,,,
130,0.206556126,,,
132.5,0.213580832,,,
135,0.342217565,,,
137.5,0.190812826,,,
140,0.05061771,,,
142.5,0.037265796,,,
145,0.103527166,,,
147.5,0.240085378,,,
150,0.140444219,,,
152.5,0.15230152,,,
155,0.263152301,,,
157.5,0.291051835,,,
160,0.28073898,,,
162.5,0.224441722,,,
165,0.111000255,,,
