Date/Time,15 Oct 2024 23.54.09,,,
Application,CtC,,,
,,,,
Unit ID,QuickCollect - 2310610,,,
OVD,NO,,,
,,,,
,,,,
,,,CH1 Units,gE
,,,,
,,,,
,,,CH1 Y-Axis,Linear
,,,,
,,,,
Sensitivity,23.6,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Max Freq / Orders,2000,,,
,,,,
,,,,
,,,,
Detection,TruePkPk,,,
No. of Lines,800,,,
Window Type,Hanning,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Y-axis Units,gE,,,
X-axis Units,Hz,,,
,,,,
,,,,
Sensor Type,Accel (g),,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
RPM,NaN,,,
,,,,
Overall,16.3804035,,,
X-Axis,Y-Axis,,,
0,0.01277808,,,
2.5,0.126786947,,,
5,0.209276557,,,
7.5,0.197918266,,,
10,0.246829927,,,
12.5,0.445884019,,,
15,0.312282085,,,
17.5,0.105277188,,,
20,0.056933448,,,
22.5,0.236962408,,,
25,0.271818161,,,
27.5,0.065381177,,,
30,0.132111147,,,
32.5,0.167321861,,,
35,0.15227212,,,
37.5,0.339400023,,,
40,0.17882213,,,
42.5,0.334501743,,,
45,0.290275395,,,
47.5,0.180525884,,,
50,0.260814816,,,
52.5,0.175130695,,,
55,0.190961316,,,
57.5,0.282750517,,,
60,0.201467738,,,
62.5,0.191813186,,,
65,0.231709197,,,
67.5,0.079153106,,,
70,0.103005528,,,
72.5,0.211264268,,,
75,0.088381723,,,
77.5,0.084477313,,,
80,0.088381723,,,
82.5,1.997639894,,,
85,4.651860237,,,
87.5,2.686875343,,,
90,0.053738926,,,
92.5,0.054590799,,,
95,0.191742197,,,
97.5,0.093279988,,,
100,0.13999097,,,
102.5,0.175698608,,,
105,0.094486803,,,
107.5,0.451279193,,,
110,0.513820827,,,
112.5,0.285377115,,,
115,0.193658903,,,
117.5,0.153265983,,,
120,0.396688402,,,
122.5,0.324208289,,,
125,0.098675177,,,
127.5,0.140345916,,,
130,0.131259277,,,
132.5,0.058069278,,,
135,0.205088183,,,
137.5,0.248675644,,,
140,0.195291668,,,
142.5,0.070563398,,,
145,0.017321398,,,
147.5,0.050970342,,,
150,0.090724371,,,
152.5,0.01703744,,,
155,0.006034093,,,
157.5,0.365950018,,,
160,0.464838177,,,
162.5,0.231993154,,,
165,0.076739475,,,
